Exchange Name,Address,Trading Hours,Time Zone,Has Physical Trading Floor
NYSE,"11 Wall Street, New York, NY 10005, USA",09:30a-04:00p,ET,TRUE
NASDAQ,"151 W 42nd Street, New York, NY 10036",09:30a-04:00p,ET,FALSE
CBOE,"433 W. Van Buren Street, Chicago, IL 60607",09:30a-04:00p,ET,TRUE
CBOE BZX,"400 South LaSalle Street, Chicago, IL 60605",09:30a-04:00p,ET,FALSE
CBOE BYX,"400 South LaSalle Street, Chicago, IL 60605",09:30a-04:00p,ET,FALSE
CBOE EDGA,"433 W. Van Buren Street, Chicago, IL 60607",09:30a-04:00p,ET,FALSE
CBOE EDGX,"433 W. Van Buren Street, Chicago, IL 60607",09:30a-04:00p,ET,FALSE
CBOE C2,"433 West Van Buren Street, Chicago, IL 60607",09:30a-04:00p,ET,FALSE
IEX,"3 World Trade Center, 175 Greenwhich Street, 58th Floor, New York, NY, 10007",09:30a-04:00p,ET,FALSE
MIAX,"7 Roszel Road, Suite 1A, Princeton, NJ 08540",09:30a-04:00p,ET,FALSE
CME,"20 South Wacker Drive, Chicago, IL 60606, USA",6:00p â€“ 5:00p,ET,TRUE

